title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
No Such Thing (feat. Hoodybaby),"Chris Brown, Hoodybaby",spotify:track:2aJAQWMUw5ZBrRTCpewyPs,0.918,0.542,7.0,-11.191,0.0,0.281,0.0821,0.0,0.0822,0.605,94.995,2aJAQWMUw5ZBrRTCpewyPs,101693.0,4.0
Help Me Breathe (feat. Future),"Young Thug, Future",spotify:track:0K02VM2o0gbtgh6PHtgmUH,0.802,0.745,6.0,-6.988,0.0,0.475,0.048,0.0,0.105,0.7,152.099,0K02VM2o0gbtgh6PHtgmUH,230359.0,4.0
Girlfriend,Charlie Puth,spotify:track:1UNs8AlFM8c0uAkSyjIW3P,0.758,0.583,1.0,-6.361,1.0,0.0421,0.18,5.12e-05,0.107,0.797,97.537,1UNs8AlFM8c0uAkSyjIW3P,177438.0,4.0
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",spotify:track:6N1K5OVVCopBjGViHs2IvP,0.528,0.309,0.0,-7.398,1.0,0.0329,0.924,2.1e-06,0.282,0.307,133.83,6N1K5OVVCopBjGViHs2IvP,185422.0,4.0
MAMIII,"Becky G, KAROL G",spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,0.843,0.7,4.0,-3.563,0.0,0.0803,0.0934,0.0,0.14,0.899,93.991,1ri9ZUkBJVFUdgwzCnfcYs,226088.0,4.0
20s,Bow Anderson,spotify:track:62Vz24WH66GYadBPFJKwT7,0.629,0.681,2.0,-6.724,1.0,0.18,0.0454,0.0,0.362,0.377,150.016,62Vz24WH66GYadBPFJKwT7,184458.0,4.0
The Funeral,YUNGBLUD,spotify:track:799vfa9SphWopM5qUnxYRU,0.474,0.861,7.0,-4.007,1.0,0.0411,8.31e-05,8.54e-05,0.0577,0.775,184.943,799vfa9SphWopM5qUnxYRU,211198.0,4.0
Otra Noche Sin Ti,"J Balvin, Khalid",spotify:track:2CdTLdDjwZdVcm0bresVWx,0.503,0.548,0.0,-7.564,0.0,0.164,0.0751,0.000234,0.145,0.441,94.036,2CdTLdDjwZdVcm0bresVWx,228920.0,4.0
Lauf davon,Danger Dan,spotify:track:4i4YdaTdRjKVWUjv00uF4g,0.672,0.116,3.0,-16.493,1.0,0.103,0.942,0.00184,0.133,0.288,81.036,4i4YdaTdRjKVWUjv00uF4g,251947.0,4.0
Das ist alles von der Kunstfreiheit gedeckt,Danger Dan,spotify:track:5axr5HmbZwBFHkc9mlU5aC,0.598,0.348,3.0,-12.785,0.0,0.0575,0.912,7.31e-05,0.0957,0.479,165.04,5axr5HmbZwBFHkc9mlU5aC,228840.0,4.0
Trotzdem,Danger Dan,spotify:track:2xOJ5GlTL3qZj514CHE3HF,0.466,0.17,3.0,-12.902,1.0,0.0353,0.861,0.000162,0.13,0.551,113.486,2xOJ5GlTL3qZj514CHE3HF,155960.0,4.0
Ich verprügelte die Sextouristen in Bangkok,Danger Dan,spotify:track:6Z0cQcmQqgD4a9Q9OgTcd0,0.442,0.136,0.0,-16.158,1.0,0.0565,0.943,0.000875,0.114,0.408,161.059,6Z0cQcmQqgD4a9Q9OgTcd0,160200.0,4.0
Das schreckliche Buch,Danger Dan,spotify:track:4V1raZO9CkyKFid1DNiPbW,0.797,0.24,7.0,-13.26,1.0,0.394,0.91,0.000114,0.0985,0.611,166.151,4V1raZO9CkyKFid1DNiPbW,203480.0,3.0
Ingloria Victoria,Danger Dan,spotify:track:38kC2MFInAmxJ1GpNsDwUF,0.781,0.378,0.0,-10.654,1.0,0.382,0.916,1.24e-05,0.284,0.853,155.165,38kC2MFInAmxJ1GpNsDwUF,180653.0,4.0
Topf und Deckel,Danger Dan,spotify:track:07sZxLeESe6ejy1o00J1u0,0.429,0.203,1.0,-14.399,1.0,0.0638,0.928,1.55e-06,0.106,0.367,68.457,07sZxLeESe6ejy1o00J1u0,186133.0,4.0
Ode an den Mord,Danger Dan,spotify:track:0gSIaZv44N99WZz8meNEUh,0.605,0.283,1.0,-11.72,1.0,0.118,0.856,2.72e-06,0.138,0.376,101.272,0gSIaZv44N99WZz8meNEUh,125587.0,4.0
Eine gute Nachricht,Danger Dan,spotify:track:2WhSeEawdrxjXelXpWdpzr,0.512,0.155,3.0,-13.523,1.0,0.0485,0.893,5.81e-05,0.108,0.269,141.763,2WhSeEawdrxjXelXpWdpzr,200280.0,1.0
Tesafilm,Danger Dan,spotify:track:0eNAYgIU69MNDlo6AXssKT,0.176,0.16,0.0,-19.395,1.0,0.0332,0.889,0.845,0.115,0.17,76.634,0eNAYgIU69MNDlo6AXssKT,195200.0,4.0
Beginne jeden Tag mit einem Lächeln,Danger Dan,spotify:track:7l7w97rWb4HS8YqYCbsOQG,0.467,0.285,0.0,-12.077,1.0,0.0529,0.786,6.53e-05,0.497,0.341,110.918,7l7w97rWb4HS8YqYCbsOQG,160440.0,3.0
Bad Boy,"Yung Bae, bbno$, Billy Marchiafava",spotify:track:1dtTRXifeGC51adYy0902s,0.861,0.82,1.0,-4.807,0.0,0.0728,0.032,4.76e-06,0.0706,0.781,118.04,1dtTRXifeGC51adYy0902s,187571.0,4.0
