index,title,singers,genre,from
51,Vivir (with Estopa),Rozalén,Pop,Spain
53,Mi Persona Favorita,"Alejandro Sanz,Camila Cabello",Pop in Spanish,Spain
55,Pájaros de Barro,Manolo García,Pop in Spanish,Spain
57,Sirenas,Taburete,Pop,Spain
59,Princesas,Pereza,Alternative & Rock in Spanish,Spain
61,De Ellos Aprendí,David Rees,Pop,Spain
62,Ay Mamá,Rigoberta Bandini,Pop,Spain
65,Música Ligera,Ana Mena,Pop,Spain
68,El Viaje,Conchita,Pop,Spain
69,Thriller,Michael Jackson,Pop,Spain
70,El Fin del Mundo (feat. Axolotes Mexicanos),La La Love You,Alternative,Spain
72,Libertad,Nil Moliner,Pop,Spain
73,Quiero Decirte,"Abraham Mateo,Ana Mena",Pop,Spain
74,La Playa,La Oreja de Van Gogh,Alternative & Rock in Spanish,Spain
75,La Niña de la Escuela,"Lola Índigo, TINI,Belinda",Latin Urban,Spain
78,Coquito,Manuel Carrasco,Pop,Spain
79,Enjoy the Silence,Depeche Mode,Pop,Spain
80,Dile a los demás,Dani Fernández,Pop,Spain
81,Losing My Religion (feat. Polina Vita),"Ian Storm, John Laurant,Carl Clarks",Dance,Spain
84,Gente Luminosa,El Arrebato,Pop in Spanish,Spain
85,La Gent Que Estimo,"OQUES GRASSES,Rita Payés",Pop,Spain
87,Disfruto (Audioiko Remix),"Carla Morrison,Audioiko",Dance,Spain
89,Bongo Cha Cha Cha,Goodboys,Dance,Spain
91,DISCOTEKA,"Lola Índigo,Maria Becerra",Latin Urban,Spain
92,La Muerte No Es el Final,Banda de la Marina,Soundtrack,Spain
93,Otra Vez,Aitana,Pop in Spanish,Spain
94,Las Cosas Pequeñitas,Marta Santos,Pop,Spain
97,In da Club,50 Cent,"Hip Hop,Rap",Spain
98,I Wanna Dance With Somebody,Whitney Houston,Pop,Spain
99,I AM WOMAN,Emmy Meli,Pop,Spain
2,BUBBEL PÅ BALKONGEN,"Elov,Beny,Sofie Svensson,Dom Där",Pop,Sweden
3,Banan Melon Kiwi & Citron,Hooja,Pop,Sweden
6,Din tid kommer (Otto Knows Remix),Håkan Hellström,Pop,Sweden
10,Fields of Gold,Eva Cassidy,"Singer,Songwriter",Sweden
11,FÖRSENT,"Yei Gonzalez, Greekazo,1.Cuz","Hip Hop,Rap",Sweden
13,Mer & Mer,Hooja,Pop,Sweden
15,SEVILLA,Thrife,"Hip Hop,Rap",Sweden
16,The Only Man On The Island,Sven-Ingvars,Pop,Sweden
18,The Final Countdown,Europe,Hard Rock,Sweden
19,X,Miss Li,Pop,Sweden
20,Fly Away,Lenny Kravitz,Rock,Sweden
21,Sail,AWOLNATION,Alternative,Sweden
22,Blue Monday,New Order,Alternative,Sweden
23,I Follow Rivers (The Magician Remix),Lykke Li,Indie Rock,Sweden
24,Kan Inte Gå,Bolaget,Pop,Sweden
25,Sexy Bitch (feat. Akon),"David Guetta,Akon",Dance,Sweden
26,Välkommen Åter,"Hanna Ferm,Junie",Pop,Sweden
28,Vi:et i vinsten,Molly Sandén,Pop,Sweden
29,Changes (feat. Talent),2Pac,"Hip Hop,Rap",Sweden
31,Mo Money Mo Problems (feat. Ma$e & Puff Daddy),The Notorious B.I.G.,"Hip Hop,Rap",Sweden
32,Går det bra?,Hooja,Pop,Sweden
33,Anthem,Tommy Körberg,Musicals,Sweden
34,Donkey Kong,Hooja,Dance,Sweden
35,Lilla Nisse,Einár,"Hip Hop,Rap",Sweden
38,RID MIG SOM EN DALAHÄST,"Rasmus Gozzi,FRÖKEN SNUSK",Dance,Sweden
39,Enter Sandman,Metallica,Heavy Metal,Sweden
40,Är det kärlek du behöver (N!NE EPA Remix),Lasse Stefanz,Pop,Sweden
42,Fingrarna I Halsen,Bolaget,Pop,Sweden
43,Turn On The Lights again.. (feat. Future),"Fred again..,Swedish House Mafia",Electronic,Sweden
45,Pink + White,Frank Ocean,Pop,Sweden
46,Let Me Blow Ya Mind (feat. Gwen Stefani),Eve,"Hip Hop,Rap",Sweden
48,Chit Chat,"Denz,Youzie","Hip Hop,Rap",Sweden
49,Holiday,KSI,Pop,Sweden
50,Unholy (Remix),ROSE BEAT,Pop,Sweden
51,PRIMADONNA,Beathoven,Pop,Sweden
52,Där Rosor Aldrig Dör,Ingmar Nordström,Pop,Sweden
53,Rock It,Sub Focus,Electronic,Sweden
54,Compliance,Muse,Alternative,Sweden
55,Goodbye Lenin!,Yann Tiersen,Pop,Sweden
56,You Make Me Feel Like It’s Halloween,Muse,Alternative,Sweden
57,Kansas City,Brenda Lee,Pop,Sweden
58,Falling Down (Vince Clarke Remix),"Space Cowboy,Chelsea",Electronic,Sweden
59,Knockin' on Heaven's Door,Blakwall,Alternative,Sweden
60,Take Me Away (feat. Ruby Prophet) [Extended Mix],"Da Tweekaz,Sound Rush",Dance,Sweden
61,Sun Sun,Reuben Vaun Smith,Electronic,Sweden
62,Swimming with the Crocodiles,The Veils,Alternative,Sweden
63,Real Thing,Sugababes,Pop,Sweden
64,Listen to the Grass Grow (feat. Gwyneth Glyn) [Vocal Version],"Catrin Finch,Seckou Keita",World,Sweden
65,Pistol In My Pocket (Vince Clarke Erasure Mix),Lanah P,Pop,Sweden
66,"Kåt, glad & tacksam",BlackJack,World,Sweden
67,Have Fi Get Yu Tonight,Buju Banton,Reggae,Sweden
68,Clarity (feat. XCEPTION) [Extended Mix],Da Tweekaz,Dance,Sweden
69,Lazarus Taxon (Vince Clarke Remix),Kidnap,Dance,Sweden
70,Out of the Shadows (Extended Mix),"Da Tweekaz, Hard Driver,Coone",Dance,Sweden
71,The Nights (feat. Citycreed),City Sessions,Pop,Sweden
72,Anything (Extended Mix),"Da Tweekaz,D-Sturb",Dance,Sweden
73,The Patriarchy,Buffering the Vampire Slayer,Alternative,Sweden
74,Get There,Paris Blohm,Dance,Sweden
75,Empire,Alvita,Dance,Sweden
76,Veloma,Fabrizio Paterlini,Contemporary Era,Sweden
77,Get Off Freestyle (feat. Giggs),Jucee Froot,"Hip Hop,Rap",Sweden
78,Juggin,"Rimzee, Tiggs Da Author,Giggs","Hip Hop,Rap",Sweden
79,How Long Will I Love You,Ellie Goulding,Pop,Sweden
80,Breakdown Days (Bonus Track),White Lies,Alternative,Sweden
81,Night Life (Slowed),T3NZU,Dance,Sweden
82,Ovunque andrò,Kobato,Pop,Sweden
83,If I Had a Dream,Logic Bomb,Trance,Sweden
84,Grand Mal Seizure,Logic Flux,Trance,Sweden
85,土曜日のわたしたちは,LiSA,J-Pop,Sweden
86,Start the Ride (TWOGOOD Remix),"Fort Knox Five,Lazy Syrup Orchestra",Dance,Sweden
87,Angel Dust (Extended Mix),"Teenage Mutants, Heerhorst,PETER PAHN",Electronic,Sweden
88,AA Side Single,"Brooklyn Funk Essentials,Alison Limerick","R&B,Soul",Sweden
89,Botella,Esme,Salsa y Tropical,Sweden
90,"Very Fine, Pts. 1 & 2",Neal Francis,Rock,Sweden
91,Hypnotise,The Allergies,Electronic,Sweden
92,Traitors,Saveus,Pop,Sweden
93,Despecha (Instrumental),Jeison Music,Latin,Sweden
94,Olvidame,Its-Chris,Latin,Sweden
95,My Everything (feat. Marce Smith) [Daniel Rateuke Remix],Bartella,House,Sweden
96,como antes (feat. Rina B),"DJ Ramon,Kasualty",Latin,Sweden
97,Levitación,"Mario Baro,Jhoni The Voice",Salsa y Tropical,Sweden
98,Same Old Story,Stryper,Heavy Metal,Sweden
99,In My Room (Version Bachata),"DJ Ramon,Kasualty",Latin Urban,Sweden
100,Tentaciones,"Dj Limbo Latino,Dany Suavilho",Latin,Sweden
27,Next to you,Joya Marleen,Pop,Switzerland
29,you were there for me,Henry Moodie,Pop,Switzerland
31,Jedi Sekunde,Halunke,Pop,Switzerland
40,It'll Be Okay,Shawn Mendes,Pop,Switzerland
43,Man in the Long Black Coat,Mark Lanegan,Rock,Switzerland
45,Uptown Funk (feat. Bruno Mars),Mark Ronson,Pop,Switzerland
46,Dance Monkey,Tones And I,Alternative,Switzerland
47,You Are the Reason (Duet Version),"Calum Scott,Leona Lewis",Pop,Switzerland
48,The Spectre,Alan Walker,Dance,Switzerland
49,Maria Magdalena,Sandra,Pop,Switzerland
54,Remedy,Leony,Pop,Switzerland
62,Way Down We Go,KALEO,Alternative,Switzerland
67,Bella Ciao (HUGEL Remix),El Profesor,Dance,Switzerland
68,Ohne Dich (schlaf' ich heut' Nacht nicht ein),Münchener Freiheit,Pop,Switzerland
71,Lean On (feat. MØ),"Major Lazer,DJ Snake",Electronic,Switzerland
72,Are You Gonna Be My Girl,Jet,Hard Rock,Switzerland
73,Warum hast du nicht nein gesagt (Club Mix),"Roland Kaiser,Maite Kelly",German Pop,Switzerland
74,Nightmare,Joya Marleen,Pop,Switzerland
75,Puisque tu pars,Jean-Jacques Goldman,French Pop,Switzerland
78,What's Up?,4 Non Blondes,Rock,Switzerland
79,Smalltown Boy,Bronski Beat,Pop,Switzerland
81,Baby Shark,Pinkfong,Children's Music,Switzerland
82,Ich wollte nie erwachsen sein (Nessajas Lied),Peter Maffay,Rock,Switzerland
84,I Gotta Feeling,Black Eyed Peas,Pop,Switzerland
85,Main Titles (You've Been Called Back to Top Gun),"Lorne Balfe, Harold Faltermeyer, Lady Gaga,Hans Zimmer",Soundtrack,Switzerland
88,Glöggelä,Trauffer,Pop,Switzerland
89,One Life,James Bay,Alternative,Switzerland
92,Mood,Makar,Dance,Switzerland
94,MANIAC (feat. Windser),Macklemore,Pop,Switzerland
96,Happier Than Ever,Billie Eilish,Alternative,Switzerland
97,Hail Hail Rock 'n' Roll,Garland Jeffreys,Rock,Switzerland
98,you are my sunshine,Christina Perri,Children's Music,Switzerland
100,Oui oui oui,Aliose,French Pop,Switzerland
11,Don’t Let The Light Go Out,Panic! At the Disco,Alternative,United Kingdom (UK)
12,The Best Is Yet to Come,Tom Walker,"Singer,Songwriter",United Kingdom (UK)
13,What's Your Story?,Our Dementia Choir,Pop,United Kingdom (UK)
20,Do I Love You (Indeed I Do),Bruce Springsteen,Rock,United Kingdom (UK)
24,All These Nights,Tom Grennan,Alternative,United Kingdom (UK)
28,Living Without You,"Sigala, David Guetta,Sam Ryder",Dance,United Kingdom (UK)
30,My G,"Aitch,Ed Sheeran","Hip Hop,Rap",United Kingdom (UK)
41,Black Mascara.,RAYE,Pop,United Kingdom (UK)
42,Ready To Fly,"Sub Focus,Dimension",Electronic,United Kingdom (UK)
43,messy in heaven,"venbee,Goddard",Dance,United Kingdom (UK)
45,Die Of A Broken Heart,Olly Murs,Pop,United Kingdom (UK)
48,I'm In Love With You,The 1975,Alternative,United Kingdom (UK)
52,Waking Up Dreaming,Shania Twain,Country,United Kingdom (UK)
53,My Love Won't Let You Down,Little Mix,Pop,United Kingdom (UK)
54,Not Over Yet (feat. Tom Grennan),KSI,Dance,United Kingdom (UK)
56,Dancing In The Shadows (feat. Clementine Douglas),TSHA,Electronic,United Kingdom (UK)
57,Somebody,Sam Ryder,"Singer,Songwriter",United Kingdom (UK)
58,They,Jem,Pop,United Kingdom (UK)
59,Summer Is Over,KSI,Dance,United Kingdom (UK)
62,HISTORY,"Joel Corry,Becky Hill",Dance,United Kingdom (UK)
65,Let's Go (feat. Aitch),Tion Wayne,"Hip Hop,Rap",United Kingdom (UK)
69,She's Like the Wind (feat. Wendy Fraser),Patrick Swayze,Soundtrack,United Kingdom (UK)
70,Red Light Spells Danger,Billy Ocean,Pop,United Kingdom (UK)
71,Sharing The Night Together,Dr. Hook,Rock,United Kingdom (UK)
72,SPACE MAN,Sam Ryder,"Singer,Songwriter",United Kingdom (UK)
73,Dance All Over Me,George Ezra,"Singer,Songwriter",United Kingdom (UK)
75,Mad About the Boy,Adam Lambert,Pop,United Kingdom (UK)
76,Loser,Charlie Puth,Pop,United Kingdom (UK)
80,Escapism. (feat. 070 Shake),RAYE,Pop,United Kingdom (UK)
82,Seventeen Going Under,Sam Fender,"Singer,Songwriter",United Kingdom (UK)
85,The Sound of Silence,Disturbed,Hard Rock,United Kingdom (UK)
89,This Is Why,Paramore,Alternative,United Kingdom (UK)
92,Believer,Imagine Dragons,Alternative,United Kingdom (UK)
93,Getting Started,Sam Fender,"Singer,Songwriter",United Kingdom (UK)
95,KILL DEM,Jamie xx,Electronic,United Kingdom (UK)
96,When Someone Loves You,"Emeli Sandé,Nile Rodgers",Pop,United Kingdom (UK)
